"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"pred[7]",171132.55931444,10.9960668461028,2165.01233072073,166901.071027244,169660.886965409,171124.798288476,172580.523341038,175415.35045275,38765.5549763736,1.00004702351383
"pred[8]",151493.874686447,11.9305251402852,2147.85052530489,147320.840305302,150042.641969184,151481.180396041,152928.118599765,155755.016598174,32410.7430847019,1.00005904793786
"pred[9]",170986.814605266,10.9958283896138,2164.29316721894,166756.703463761,169515.013595255,170978.387262174,172433.236693272,175268.128349412,38741.4855861043,1.00004712589314
"pred[10]",147826.846891377,12.2095557062917,2159.55331525275,143642.576354137,146368.615771588,147814.85231908,149265.730876064,152101.163223786,31284.4222848022,1.00006071121052
"pred[11]",131049.522384405,13.6548931392299,2249.67711539919,126682.836452172,129538.593182517,131029.876824734,132540.663859498,135520.235607711,27143.370172475,1.00006568092217
"pred[12]",181534.599790218,11.2154716320602,2242.70251383907,177177.522813215,180009.489783185,181522.746925974,183043.34791883,185979.734859338,39986.0272179043,1.00003968178573
"pred[13]",196632.304487778,12.2932077718818,2451.70054774044,191901.866914691,194970.479192456,196614.184030441,198287.64815505,201470.918040229,39774.4702875114,1.00003034931113
"pred[14]",203525.629900982,13.0803746228706,2584.55733289372,198502.734157293,201771.360945399,203514.934515066,205270.278445614,208633.686009285,39041.9927286074,1.00002710400958
"pred[15]",242930.330961907,21.0774443363116,3720.23809384618,235675.26768541,240414.942541884,242903.186431833,245433.076246415,250288.288550159,31153.4084280603,1.00002024336738
"pred[16]",201144.238450947,12.7886285537861,2536.10339952454,196216.613281772,199418.8035616,201130.10402353,202854.827365052,206154.908841536,39326.5605737315,1.00002814331872
"pred[17]",237285.204093489,19.6604459420798,3524.27425400888,230395.510880801,234899.723809658,237257.769181492,239669.878466761,244247.836359815,32133.1029718616,1.00002035618801
"pred[18]",248749.920080576,22.6053645972615,3931.78061722005,241095.400945339,246090.140639776,248712.116779023,251389.711662305,256522.632411661,30252.0996717859,1.00002029251744
"pred[19]",338849.483363888,52.0766592135486,8084.88967323778,323263.341676753,333426.529616762,338735.30512044,344191.495761194,355074.029683111,24102.4929212555,1.00002645819274
"pred[20]",316937.030529818,44.1217921175946,6953.76884213292,303492.525795938,312274.220498766,316835.297150732,321546.269221107,330841.315580096,24839.0059366138,1.00002492587508
"pred[21]",273887.166213839,29.8556678482849,4941.56719729983,264310.989634212,270568.93912831,273837.949828652,277183.937645021,283636.115706633,27395.2854476379,1.00002160989437
"pred[22]",264222.704216149,26.9552326992213,4536.35133249247,255413.026975998,261168.537255303,264172.508689684,267262.204349679,273183.253156239,28322.213635106,1.00002096242659
"pred[23]",180502.940265074,11.1751437899102,2232.61629549755,176153.745483462,178985.138256091,180490.651043441,182005.595098156,184933.963977014,39913.695589473,1.00004039818881
"pred[24]",160971.03427931,11.3364155207381,2137.36223233442,156824.809422533,159521.394527258,160966.545394245,162402.008249917,165207.903131333,35547.1469939629,1.00005380516415
"pred[25]",135575.042347398,13.2513379793997,2220.9958021138,131278.094695777,134075.917369019,135555.702999306,137052.697409977,139986.23817057,28091.570097557,1.00006474006146
"pred[26]",196961.376760036,12.3267400674062,2457.52337012534,192219.924488779,195296.445140319,196943.657963261,198620.815504905,201807.0615012,39746.4949794252,1.00003017810024
"pred[27]",212872.520691159,14.4315943120532,2799.5797930134,207381.348032141,210967.872261424,212851.384055134,214748.314732001,218412.747692543,37631.9806368141,1.00002384931249
"pred[28]",217575.552562742,15.3252294075238,2921.89917383214,211837.201391976,215579.606760286,217549.72288842,219531.741061021,223343.528351432,36351.0100462568,1.00002267638986
"pred[29]",313900.163602846,43.0529393899015,6802.17223306118,300748.285275521,309341.088496097,313800.918888637,318413.733388682,327482.974532078,24962.58937962,1.00002469957911
"pred[30]",286386.905438213,33.786966599198,5493.24110001338,275749.656068394,282716.468918117,286331.12059243,290039.576039921,297253.532698543,26433.7584154193,1.00002255819565
"pred[31]",285855.335587684,33.6159497653418,5469.18961938769,275266.316326303,282203.511152398,285798.60659167,289492.34437127,296682.548422764,26470.0760788918,1.00002251661059
"pred[32]",226225.751142727,17.0975653641469,3169.43755840263,220000.819039941,224066.280111841,226192.502848926,228364.239189691,232494.114292341,34363.3784208311,1.00002120995771
"pred[33]",201040.772658967,12.7764186075944,2534.05865215055,196115.66475204,199316.696785672,201026.382461617,202749.16511656,206049.408851832,39338.2521772934,1.00002819044472
"pred[34]",185699.710239779,11.4215176901181,2288.87941665331,181255.958655877,184148.94875876,185686.357965558,187232.818638136,190238.098739289,40160.4151712838,1.00003686377842
"pred[35]",122798.851398215,14.3826342816308,2305.8555124629,118310.728556302,121243.170883171,122778.807654771,124324.703990734,127379.575128947,25703.2065339846,1.00006677151275
"pred[36]",122281.948603359,14.4272230022418,2309.44697674448,117795.446755561,120724.023694494,122260.694235357,123809.151548134,126868.486226983,25624.2109926951,1.00006681649679
